  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
039690 99999 201303010000 030   9 ***   2 *** 6 0 2  5.6 10 ** ** ** ** ** ** ** 1   40   39 1033.6 30.50 1022.8 *** *** *****  0.00 ***** ***** ** 
039690 99999 201303010100 020   7 ***  36 BKN 5 * *  4.4 10 ** ** ** ** ** ** ** 2   41   40 1033.3 30.50 1022.6 *** *** ***** ***** ***** ***** ** 
039690 99999 201303010200 030   7 ***  36 BKN 5 * *  5.6 10 ** ** ** ** ** ** ** 2   41   40 1033.2 30.47 1022.5 *** *** ***** ***** ***** ***** ** 
039690 99999 201303010300 020   7 ***  32 BKN 5 * *  5.6 10 ** ** ** ** ** ** ** 2   41   40 1033.0 30.47 1022.3 *** *** ***** ***** ***** ***** ** 
039690 99999 201303010400 010   7 ***  33 BKN 5 * *  7.5 10 ** ** ** ** ** ** ** 2   41   40 1032.8 30.47 1022.1 *** *** ***** ***** ***** ***** ** 
039690 99999 201303010500 010   7 ***  33 BKN 5 * * 12.5 ** ** ** ** ** ** ** ** *   41   39 1032.8 30.47 1022.1 *** *** ***** ***** ***** ***** ** 
039690 99999 201303010600 030   4 ***  37 BKN 5 * * 12.5 ** ** ** ** ** ** ** ** *   41   39 1033.0 30.47 1022.3 ***  36 ***** ***** *****  0.00 ** 
039690 99999 201303010700 040   7 ***  37 BKN 5 * *  5.6 10 ** ** ** ** ** ** ** 2   40   40 1033.0 30.47 1022.3 *** *** ***** ***** ***** ***** ** 
039690 99999 201303010800 010   7 ***  44 BKN 5 * *  4.4 10 ** ** ** ** ** ** ** 2   42   40 1033.3 30.50 1022.6 *** *** ***** ***** ***** ***** ** 
039690 99999 201303010900 040   7 ***  44 BKN 5 * *  8.8 ** ** ** ** ** ** ** ** *   43   41 1033.6 30.50 1022.9 *** *** ***** ***** ***** ***** ** 
039690 99999 201303011000 020   9 ***  44 BKN 5 * *  8.8 ** ** ** ** ** ** ** ** *   44   41 1033.8 30.50 1023.1 *** *** ***** ***** ***** ***** ** 
039690 99999 201303011100 070  11 ***  14 BKN 5 * * 15.6 ** ** ** ** ** ** ** ** *   46   39 1033.7 ***** 1023.1 *** *** ***** ***** ***** ***** ** 
039690 99999 201303011200 050  13 ***  41 BKN 5 * * 15.6 ** ** ** ** ** ** ** ** *   45   37 1033.9 30.50 1023.3 *** *** ***** ***** ***** ***** ** 
039690 99999 201303011300 080  13 ***  39 BKN 8 * * 15.6 ** ** ** ** ** ** ** ** *   45   38 1033.5 ***** 1022.9 *** *** ***** ***** ***** ***** ** 
039690 99999 201303011400 060   9 ***  39 *** 8 * * 15.6 ** ** ** ** ** ** ** ** *   46   34 1033.2 30.50 1022.6 *** *** ***** ***** ***** ***** ** 
039690 99999 201303011500 070   9 ***  34 *** 8 0 0 15.6 ** ** ** ** ** ** ** ** *   45   36 1033.0 30.47 1022.4 *** *** ***** ***** ***** ***** ** 
039690 99999 201303011600 060   7 ***  34 BKN 8 0 2 15.6 ** ** ** ** ** ** ** ** *   44   34 1032.6 30.47 1021.9 *** *** ***** ***** ***** ***** ** 
039690 99999 201303011700 050   9 ***  31 BKN 8 0 2 15.6 ** ** ** ** ** ** ** ** *   42   33 1032.6 30.47 1021.9 *** *** ***** ***** ***** ***** ** 
039690 99999 201303011800 070   7 ***  28 BKN 8 0 2 15.6 ** ** ** ** ** ** ** ** *   40   34 1032.6 30.47 1021.9  48 *** ***** ***** ***** ***** ** 
039690 99999 201303011900 050   7 ***  26 *** 8 0 2 15.6 ** ** ** ** ** ** ** ** *   39   35 1032.8 30.47 1022.0 *** *** ***** ***** ***** ***** ** 
039690 99999 201303012000 050   4 *** 722 SCT 5 0 0 15.6 ** ** ** ** ** ** ** ** *   36   33 1032.9 30.47 1022.1 *** *** ***** ***** ***** ***** ** 
039690 99999 201303012100 340   4 *** 722 *** 6 0 0 15.6 ** ** ** ** ** ** ** ** *   31   29 1033.0 30.47 1022.1 *** *** ***** ***** ***** ***** ** 
039690 99999 201303012200 360   4 *** 722 *** 6 0 0 15.6 ** ** ** ** ** ** ** ** *   28   27 1033.3 30.47 1022.3 *** *** ***** ***** ***** ***** ** 
039690 99999 201303012300 360   4 *** 722 *** 6 0 0 15.6 ** ** ** ** ** ** ** ** *   28   27 1033.2 30.47 1022.2 *** *** ***** ***** ***** ***** ** 
039690 99999 201303020000 340   4 *** 722 SCT 5 0 0 15.6 ** ** ** ** ** ** ** ** *   27   27 1032.9 30.47 1021.9 *** *** *****  0.00 ***** ***** ** 
039690 99999 201303020100 330   2 *** 722 SCT 5 0 0 15.6 ** ** ** ** ** ** ** ** *   27   27 1032.6 30.47 1021.6 *** *** ***** ***** ***** ***** ** 
