  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
855580 99999 201303010000 250   8 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   64   45 1012.5 ***** ****** *** *** *****  0.00 ***** ***** ** 
855580 99999 201303010300 170   3 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   60   47 1013.5 ***** ****** *** *** ***** ***** ***** ***** ** 
855580 99999 201303010600 020   6 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   56   51 1013.8 ***** ****** *** *** *****  0.00 ***** ***** ** 
855580 99999 201303011200 ***   0 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   53   49 1015.0 ***** ****** ***  52 ***** *****  0.00 ***** ** 
855580 99999 201303011500 190   8 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   62   53 1016.2 ***** ****** *** *** ***** ***** ***** ***** ** 
855580 99999 201303011800 220  21 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   68   65 1016.8 ***** ****** *** *** *****  0.00 ***** ***** ** 
855580 99999 201303012100 220  14 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   69   48 1015.3 ***** ****** *** *** ***** ***** ***** ***** ** 
855580 99999 201303020000 240  18 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   64   46 1015.0 ***** ******  70 *** ***** ***** ***** ***** ** 
855580 99999 201303020300 200   6 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   61   47 1014.1 ***** ****** *** *** ***** ***** ***** ***** ** 
855580 99999 201303020600 320   2 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   58   48 1012.6 ***** ****** *** *** *****  0.00 ***** ***** ** 
855580 99999 201303020900 070   3 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   57   49 1011.5 ***** ****** *** *** ***** ***** ***** ***** ** 
855580 99999 201303021200 080   2 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   55   49 1012.5 ***** ****** ***  54 ***** *****  0.00 ***** ** 
855580 99999 201303021500 ***   0 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   62   51 1013.0 ***** ****** *** *** ***** ***** ***** ***** ** 
855580 99999 201303021800 250  11 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   71   51 1011.8 ***** ****** *** *** *****  0.00 ***** ***** ** 
855580 99999 201303022100 240  17 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   71   53 1011.2 ***** ****** *** *** ***** ***** ***** ***** ** 
855580 99999 201303030000 220   7 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   65   51 1012.1 ***** ******  72 *** *****  0.00 ***** ***** ** 
855580 99999 201303030300 150   6 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   59   52 1013.9 ***** ****** *** *** ***** ***** ***** ***** ** 
855580 99999 201303030600 ***   0 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   55   53 1013.5 ***** ****** *** *** *****  0.00 ***** ***** ** 
855580 99999 201303030900 120   6 ***   6 BKN 6 0 0  6.2 ** ** ** ** ** ** ** ** *   56   55 1014.1 ***** ****** *** *** ***** ***** ***** ***** ** 
855580 99999 201303031200 090   7 ***  15 BKN 6 0 0  6.2 ** ** ** ** ** ** ** ** *   57   54 1016.1 ***** ****** ***  55 ***** *****  0.00 ***** ** 
855580 99999 201303031500 350   5 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   62   56 1017.1 ***** ****** *** *** ***** ***** ***** ***** ** 
855580 99999 201303031800 240  11 *** 722 CLR 0 0 0  2.5 10 ** ** ** ** ** ** ** 2   63   57 1016.5 ***** ****** *** *** *****  0.00 ***** ***** ** 
855580 99999 201303032100 240  16 ***  98 BKN 0 8 0  2.5 10 ** ** ** ** ** ** ** 2   63   56 1015.1 ***** ****** *** *** ***** ***** ***** ***** ** 
855580 99999 201303040000 240  10 ***  69 BKN 0 3 0  6.2 ** ** ** ** ** ** ** ** *   61   57 1015.2 ***** ******  64 *** *****  0.00 ***** ***** ** 
855580 99999 201303040300 ***   0 *** 722 CLR 0 0 0  2.5 10 ** ** ** ** ** ** ** 1   58   56 1015.9 ***** ****** *** *** ***** ***** ***** ***** ** 
855580 99999 201303040600 ***   0 ***  15 OVC 6 * *  6.2 10 ** ** ** ** ** ** ** 1   58   56 1015.9 ***** ****** *** *** *****  0.00 ***** ***** ** 
855580 99999 201303040900 240   6 ***  15 OVC 6 * *  2.5 10 ** ** ** ** ** ** ** 2   57   54 1015.0 ***** ****** *** *** ***** ***** ***** ***** ** 
855580 99999 201303041200 180   3 ***  15 OVC 6 * *  6.2 02 ** ** ** ** ** ** ** 2   57   52 1016.1 ***** ****** ***  56 ***** *****  0.00 ***** ** 
855580 99999 201303041500 240  10 *** 722 SCT 6 0 0  6.2 ** ** ** ** ** ** ** ** *   60   54 1016.5 ***** ****** *** *** ***** ***** ***** ***** ** 
855580 99999 201303041800 240  10 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   63   56 1015.5 ***** ****** *** *** *****  0.00 ***** ***** ** 
855580 99999 201303042100 240  22 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   65   54 1014.0 ***** ****** *** *** ***** ***** ***** ***** ** 
855580 99999 201303050000 090   3 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   61   55 1014.5 ***** ******  66 *** *****  0.00 ***** ***** ** 
855580 99999 201303050300 070   2 ***  20 OVC 6 * *  6.2 ** ** ** ** ** ** ** ** *   58   55 1015.0 ***** ****** *** *** ***** ***** ***** ***** ** 
855580 99999 201303050600 240   3 ***  10 BKN 5 0 0  6.2 01 ** ** ** ** ** ** ** 2   56   53 1014.3 ***** ****** *** *** *****  0.00 ***** ***** ** 
855580 99999 201303050900 180   3 ***  10 OVC 5 * *  6.2 ** ** ** ** ** ** ** ** *   56   52 1014.0 ***** ****** *** *** ***** ***** ***** ***** ** 
855580 99999 201303051200 180   5 ***  15 OVC 6 * *  2.5 51 ** ** ** ** ** ** ** 5   56   54 1015.5 ***** ****** ***  55 ***** *****  0.00T***** ** 
855580 99999 201303051500 240   8 ***  15 OVC 6 * *  6.2 ** ** ** ** ** ** ** ** *   61   54 1016.8 ***** ****** *** *** ***** ***** ***** ***** ** 
855580 99999 201303051800 250   8 ***  20 OVC 5 * *  6.2 ** ** ** ** ** ** ** ** *   59   55 1017.2 ***** ****** *** *** *****  0.00T***** ***** ** 
855580 99999 201303052100 250   7 ***  20 OVC 5 * *  6.2 ** ** ** ** ** ** ** ** *   63   55 1017.8 ***** ****** *** *** ***** ***** ***** ***** ** 
855580 99999 201303060000 180   8 *** 722 SCT 4 0 0  6.2 ** ** ** ** ** ** ** ** *   62   50 1017.6 ***** ******  64 *** ***** ***** ***** ***** ** 
855580 99999 201303060300 090   3 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   58   51 1018.0 ***** ****** *** *** ***** ***** ***** ***** ** 
855580 99999 201303060600 ***   0 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   56   52 1018.0 ***** ****** *** *** *****  0.00 ***** ***** ** 
855580 99999 201303060900 180   6 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   57   49 1017.0 ***** ****** *** *** ***** ***** ***** ***** ** 
855580 99999 201303061200 180   3 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   55   49 1017.5 ***** ****** ***  54 ***** *****  0.00T***** ** 
855580 99999 201303061500 240  14 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   64   52 1016.9 ***** ****** *** *** ***** ***** ***** ***** ** 
855580 99999 201303061800 240  17 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   67   53 1015.9 ***** ****** *** *** ***** *****  0.00 ***** ** 
855580 99999 201303062100 240  17 *** 722 *** 0 0 *  6.2 ** ** ** ** ** ** ** ** *   69   45 1014.0 ***** ****** *** *** ***** ***** ***** ***** ** 
855580 99999 201303070000 160   6 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   65   45 1015.0 ***** ******  71 *** ***** *****  0.00 ***** ** 
855580 99999 201303070300 ***   0 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   60   52 1015.0 ***** ****** *** *** ***** ***** ***** ***** ** 
855580 99999 201303070600 090   2 *** 722 SCT 0 0 4  6.2 ** ** ** ** ** ** ** ** *   58   47 1013.4 ***** ****** *** *** *****  0.00 ***** ***** ** 
855580 99999 201303070900 ***   0 *** 722 SCT 0 3 0  6.2 ** ** ** ** ** ** ** ** *   55   51 1013.2 ***** ****** *** *** ***** ***** ***** ***** ** 
855580 99999 201303071200 ***   0 *** 197 BKN 0 7 6  2.5 10 ** ** ** ** ** ** ** 2   55   51 1014.4 ***** ****** ***  54 ***** *****  0.00 ***** ** 
855580 99999 201303071500 340   5 ***  98 BKN 0 3 8  2.5 10 ** ** ** ** ** ** ** 2   60   55 1016.0 ***** ****** *** *** ***** ***** ***** ***** ** 
855580 99999 201303071800 240   7 ***  98 BKN 0 3 9  6.2 ** ** ** ** ** ** ** ** *   68   50 1015.2 ***** ****** *** *** *****  0.00 ***** ***** ** 
855580 99999 201303072100 240  16 *** *** BKN 0 3 8  6.2 ** ** ** ** ** ** ** ** *   69   53 1014.2 ***** ****** *** *** ***** ***** ***** ***** ** 
855580 99999 201303080000 ***   0 ***  98 BKN 0 7 0  6.2 ** ** ** ** ** ** ** ** *   63   51 1015.3 ***** ******  70 *** *****  0.00 ***** ***** ** 
855580 99999 201303080300 040   3 ***  98 BKN 0 7 0  2.5 ** ** ** ** ** ** ** ** *   60   57 1016.0 ***** ****** *** *** ***** ***** ***** ***** ** 
855580 99999 201303080600 ***   0 *** 722 SCT 0 7 0  6.2 ** ** ** ** ** ** ** ** *   58   52 1015.6 ***** ****** *** *** *****  0.00 ***** ***** ** 
855580 99999 201303080900 100   5 *** 722 SCT 0 3 0  6.2 ** ** ** ** ** ** ** ** *   56   51 1015.0 ***** ****** *** *** ***** ***** ***** ***** ** 
