  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
723067 93726 201303010000 270   3 ***  69 BKN * * * 10.0 ** ** ** ** ** ** ** ** *   46   30 ****** 29.80 ****** *** *** ***** ***** ***** ***** ** 
723067 93726 201303010100 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   45   28 ****** 29.82 ****** *** *** ***** ***** ***** ***** ** 
723067 93726 201303010200 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   43   28 ****** 29.83 ****** *** *** ***** ***** ***** ***** ** 
723067 93726 201303010255 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   41   28 ****** 29.84 ****** *** *** ***** ***** ***** ***** ** 
723067 93726 201303010300 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   43   28 ****** 29.84 ****** *** *** ***** ***** ***** ***** ** 
723067 93726 201303010400 290   6 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   43   28 ****** 29.85 ****** *** *** ***** ***** ***** ***** ** 
723067 93726 201303010500 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   41   28 ****** 29.86 ****** *** *** ***** ***** ***** ***** ** 
723067 93726 201303010555 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   39   28 ****** 29.85 1007.4  47  39 ***** ***** ***** ***** ** 
723067 93726 201303010655 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   37   28 ****** 29.86 1007.7 *** *** ***** ***** ***** ***** ** 
723067 93726 201303010755 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   37   28 ****** 29.85 1007.4 *** *** ***** ***** ***** ***** ** 
723067 93726 201303010855 270   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   37   28 ****** 29.84 1007.0 *** *** ***** ***** ***** ***** ** 
723067 93726 201303010955 270   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   36   28 ****** 29.86 1007.7 *** *** ***** ***** ***** ***** ** 
723067 93726 201303011055 290   6 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   36   28 ****** 29.86 1007.7 *** *** ***** ***** ***** ***** ** 
723067 93726 201303011156 280   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   36   28 ****** 29.88 1008.4 *** *** ***** ***** ***** ***** ** 
723067 93726 201303011256 290   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   36   28 ****** 29.89 1008.7 *** *** ***** ***** ***** ***** ** 
