  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
720598 00191 201409110055 ***   0 *** *** *** * * * 10.0 ** ** ** ** ** ** ** ** *   77   75 ****** 30.05 ****** *** *** ***** ***** ***** ***** ** 
720598 00191 201409111455 240   5 *** *** *** * * * 10.0 ** ** ** ** ** ** ** ** *   84   77 ****** 30.07 ****** *** *** ***** ***** ***** ***** ** 
720598 00191 201409111655 ***   0 *** *** *** * * *  7.0 ** ** ** ** ** ** ** ** *   86   77 ****** 30.04 ****** *** *** ***** ***** ***** ***** ** 
720598 00191 201409111855 ***   0 *** *** *** * * * 10.0 ** ** ** ** ** ** ** ** *   90   77 ****** 30.01 ****** *** *** ***** ***** ***** ***** ** 
720598 00191 201409111955 230   3 *** *** *** * * * 10.0 ** ** ** ** ** ** ** ** *   91   75 ****** 29.98 ****** *** *** ***** ***** ***** ***** ** 
720598 00191 201409112055 170   5 *** *** *** * * * 10.0 ** ** ** ** ** ** ** ** *   90   77 ****** 29.97 ****** *** *** ***** ***** ***** ***** ** 
720598 00191 201409112155 170   7 *** *** *** * * * 10.0 ** ** ** ** ** ** ** ** *   88   79 ****** 29.97 ****** *** *** ***** ***** ***** ***** ** 
720598 00191 201409112255 160   3 *** *** *** * * * 10.0 ** ** ** ** ** ** ** ** *   86   79 ****** 29.97 ****** *** *** ***** ***** ***** ***** ** 
720598 00191 201409112355 200   5 *** *** *** * * * 10.0 ** ** ** ** ** ** ** ** *   82   79 ****** 29.98 ****** *** *** ***** ***** ***** ***** ** 
720598 00191 201409120055 180   3 *** *** *** * * * 10.0 ** ** ** ** ** ** ** ** *   81   77 ****** 30.01 ****** *** *** ***** ***** ***** ***** ** 
720598 00191 201409120155 210   3 *** *** *** * * * 10.0 ** ** ** ** ** ** ** ** *   81   77 ****** 30.02 ****** *** *** ***** ***** ***** ***** ** 
720598 00191 201409120255 ***   0 *** *** *** * * * 10.0 ** ** ** ** ** ** ** ** *   79   77 ****** 30.02 ****** *** *** ***** ***** ***** ***** ** 
720598 00191 201409120355 ***   0 *** *** *** * * * 10.0 ** ** ** ** ** ** ** ** *   77   77 ****** 30.02 ****** *** *** ***** ***** ***** ***** ** 
720598 00191 201409120455 ***   0 *** *** *** * * * 10.0 ** ** ** ** ** ** ** ** *   77   77 ****** 30.01 ****** *** *** ***** ***** ***** ***** ** 
720598 00191 201409120555 ***   0 *** *** *** * * *  7.0 ** ** ** ** ** ** ** ** *   77   75 ****** 30.01 ****** *** *** ***** ***** ***** ***** ** 
720598 00191 201409120655 ***   0 *** *** *** * * *  7.0 ** ** ** ** ** ** ** ** *   77   75 ****** 30.00 ****** *** *** ***** ***** ***** ***** ** 
720598 00191 201409120755 ***   0 *** *** *** * * * 10.0 ** ** ** ** ** ** ** ** *   75   75 ****** 30.01 ****** *** *** ***** ***** ***** ***** ** 
720598 00191 201409120855 ***   0 *** *** *** * * * 10.0 ** ** ** ** ** ** ** ** *   75   75 ****** 30.01 ****** *** *** ***** ***** ***** ***** ** 
720598 00191 201409120955 ***   0 *** *** *** * * *  7.0 ** ** ** ** ** ** ** ** *   75   75 ****** 30.02 ****** *** *** ***** ***** ***** ***** ** 
720598 00191 201409121055 ***   0 *** *** *** * * * 10.0 ** ** ** ** ** ** ** ** *   75   75 ****** 30.03 ****** *** *** ***** ***** ***** ***** ** 
720598 00191 201409121155 ***   0 *** *** *** * * * 10.0 ** ** ** ** ** ** ** ** *   75   75 ****** 30.04 ****** *** *** ***** ***** ***** ***** ** 
720598 00191 201409121255 ***   0 *** *** *** * * * 10.0 ** ** ** ** ** ** ** ** *   77   75 ****** 30.05 ****** *** *** ***** ***** ***** ***** ** 
720598 00191 201409121355 210   5 *** *** *** * * * 10.0 ** ** ** ** ** ** ** ** *   84   73 ****** 30.05 ****** *** *** ***** ***** ***** ***** ** 
720598 00191 201409121455 270   5 *** *** *** * * * 10.0 ** ** ** ** ** ** ** ** *   86   77 ****** 30.05 ****** *** *** ***** ***** ***** ***** ** 
720598 00191 201409121555 230   6 *** *** *** * * * 10.0 ** ** ** ** ** ** ** ** *   88   77 ****** 30.04 ****** *** *** ***** ***** ***** ***** ** 
720598 00191 201409121655 250   3 *** *** *** * * *  7.0 ** ** ** ** ** ** ** ** *   90   77 ****** 30.03 ****** *** *** ***** ***** ***** ***** ** 
720598 00191 201409121755 ***   0 *** *** *** * * * 10.0 ** ** ** ** ** ** ** ** *   90   77 ****** 30.01 ****** *** *** ***** ***** ***** ***** ** 
720598 00191 201409121855 250   3 *** *** *** * * * 10.0 ** ** ** ** ** ** ** ** *   91   77 ****** 29.99 ****** *** *** ***** ***** ***** ***** ** 
720598 00191 201409121955 180   5 *** *** *** * * * 10.0 ** ** ** ** ** ** ** ** *   91   79 ****** 29.97 ****** *** *** ***** ***** ***** ***** ** 
720598 00191 201409122055 ***   0 *** *** *** * * * 10.0 ** ** ** ** 91 ** ** ** *   88   77 ****** 29.97 ****** *** *** ***** ***** ***** ***** ** 
720598 00191 201409122155 120   5 *** *** *** * * *  3.0 ** ** ** ** 95 ** ** ** *   75   73 ****** 30.00 ****** *** ***  0.08 ***** ***** ***** ** 
