  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
486940 99999 201303010000 030   1 *** 295 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   81   75 ****** 29.80 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303010100 360   2 *** 295 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   82   77 ****** 29.83 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303010200 030   3 *** 295 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   84   77 ****** 29.83 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303010300 040   5 *** 295 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   88   75 ****** 29.83 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303010400 010   2 *** 295 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   91   77 ****** 29.83 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303010500 010   3 *** 295 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   93   77 ****** 29.80 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303010600 020   5 *** 295 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   95   77 ****** 29.77 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303010700 190   5 *** 295 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   90   77 ****** 29.74 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303010800 130   2 *** 722 SCT * * *  5.0 95 80 ** ** ** ** ** ** *   88   79 ****** 29.74 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303010900 070   5 *** 148 BKN * * *  7.0 95 80 ** ** ** ** ** ** *   88   79 ****** 29.71 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303011000 070   3 *** 722 SCT * * *  7.0 16 ** ** ** ** ** ** ** *   86   77 ****** 29.71 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303011100 070   5 *** 722 SCT * * *  7.0 ** ** ** ** ** ** ** ** *   86   77 ****** 29.74 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303011200 060   3 *** 295 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   84   77 ****** 29.77 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303011300 050   5 *** 295 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   84   77 ****** 29.80 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303011400 060   5 *** 295 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   82   77 ****** 29.80 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303011500 030   3 *** 295 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   82   77 ****** 29.83 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303012100 050   2 *** 295 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   81   77 ****** 29.80 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303012200 060   1 *** 295 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   81   77 ****** 29.83 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303012300 050   1 *** 148 BKN * * *  5.0 ** ** ** ** ** ** ** ** *   81   77 ****** 29.83 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303020000 050   2 *** 118 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   81   77 ****** 29.85 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303020100 040   5 ***  49 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   82   77 ****** 29.85 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303020200 040   6 *** 295 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   84   77 ****** 29.85 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303020300 030   6 *** 295 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   88   77 ****** 29.85 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303020400 050   6 *** 295 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   90   77 ****** 29.85 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303020500 040   6 *** 295 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   91   77 ****** 29.83 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303020600 060   5 *** 295 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   91   77 ****** 29.80 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303020700 060   6 *** 295 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   93   79 ****** 29.77 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303020800 060   6 *** 722 SCT * * *  5.0 95 80 ** ** ** ** ** ** *   91   79 ****** 29.74 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303020900 280   7 ***  13 BKN * * *  0.3 97 82 ** ** ** ** ** ** *   82   79 ****** 29.77 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303021000 ***   0 *** 722 SCT * * *  7.0 61 ** ** ** ** ** ** ** *   79   75 ****** 29.77 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303021100 ***   0 *** 722 SCT * * *  7.0 ** ** ** ** ** ** ** ** *   79   77 ****** 29.77 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303021200 060   2 *** 295 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   81   77 ****** 29.80 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303021300 060   3 *** 295 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   82   77 ****** 29.83 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303021400 050   3 *** 295 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   82   77 ****** 29.85 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303021500 040   3 *** 295 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   81   77 ****** 29.85 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303022100 040   3 *** 276 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   79   77 ****** 29.80 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303022200 030   3 *** 276 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   79   77 ****** 29.83 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303022300 050   3 *** 177 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   79   77 ****** 29.85 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303030000 050   3 *** 148 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   79   75 ****** 29.85 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303030100 050   6 *** 157 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   81   77 ****** 29.88 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303030200 050   7 *** 276 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   84   77 ****** 29.88 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303030300 040   7 *** 276 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   86   77 ****** 29.88 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303030400 040   9 *** 276 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   88   77 ****** 29.85 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303030500 040  10 *** 276 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   90   75 ****** 29.85 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303030600 040   7 *** 276 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   90   75 ****** 29.83 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303030700 040   7 *** 276 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   88   77 ****** 29.80 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303030800 050   9 *** 722 SCT * * *  7.0 ** ** ** ** ** ** ** ** *   90   75 ****** 29.77 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303030900 060   8 ***  18 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   88   77 ****** 29.77 ****** *** *** ***** ***** ***** ***** ** 
486940 99999 201303031000 030   9 *** 295 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   86   75 ****** 29.80 ****** *** *** ***** ***** ***** ***** ** 
